[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.004088s ]
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | INFO: Run CheckRoute Behavior [ RunTime:0.003148s ]
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003337s ]
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000866s ]
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000947s ]
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.002760s ]
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | SQL: SELECT * FROM `hd_category`  [ RunTime:0.057408s ]
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | INFO: Tag[ view_template ] --START--
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | INFO: Run LocationTemplate Behavior [ RunTime:0.006289s ]
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.006486s ]
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | INFO: Tag[ view_parse ] --START--
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | INFO: Run ParseTemplate Behavior [ RunTime:0.067205s ]
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.067306s ]
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | INFO: Tag[ view_filter ] --START--
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | INFO: Run ContentReplace Behavior [ RunTime:0.001171s ]
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | INFO: Run TokenBuild Behavior [ RunTime:0.000635s ]
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000464s ]
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000935s ]
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003461s ]
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | INFO: Tag[ view_end ] --START--
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000796s ]
[ 2014-08-12T01:33:36+08:00 ] /wenda/Admin.php/Category/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000891s ]
[ 2014-08-12T01:33:45+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:33:45+08:00 ] /wenda/Admin.php/Reward/index | INFO: Run CheckRoute Behavior [ RunTime:0.003138s ]
[ 2014-08-12T01:33:45+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003322s ]
[ 2014-08-12T01:33:45+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:33:45+08:00 ] /wenda/Admin.php/Reward/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002503s ]
[ 2014-08-12T01:33:45+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002715s ]
[ 2014-08-12T01:33:45+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ view_template ] --START--
[ 2014-08-12T01:33:45+08:00 ] /wenda/Admin.php/Reward/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001639s ]
[ 2014-08-12T01:33:45+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001802s ]
[ 2014-08-12T01:33:45+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ view_parse ] --START--
[ 2014-08-12T01:33:45+08:00 ] /wenda/Admin.php/Reward/index | INFO: Run ParseTemplate Behavior [ RunTime:0.072358s ]
[ 2014-08-12T01:33:45+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.072836s ]
[ 2014-08-12T01:33:45+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ view_filter ] --START--
[ 2014-08-12T01:33:45+08:00 ] /wenda/Admin.php/Reward/index | INFO: Run ContentReplace Behavior [ RunTime:0.001872s ]
[ 2014-08-12T01:33:45+08:00 ] /wenda/Admin.php/Reward/index | INFO: Run TokenBuild Behavior [ RunTime:0.001934s ]
[ 2014-08-12T01:33:45+08:00 ] /wenda/Admin.php/Reward/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000773s ]
[ 2014-08-12T01:33:45+08:00 ] /wenda/Admin.php/Reward/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000761s ]
[ 2014-08-12T01:33:45+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005721s ]
[ 2014-08-12T01:33:45+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ view_end ] --START--
[ 2014-08-12T01:33:45+08:00 ] /wenda/Admin.php/Reward/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000642s ]
[ 2014-08-12T01:33:45+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000721s ]
[ 2014-08-12T01:33:48+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:33:48+08:00 ] /wenda/Admin.php/Reward/index | INFO: Run CheckRoute Behavior [ RunTime:0.001294s ]
[ 2014-08-12T01:33:48+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001435s ]
[ 2014-08-12T01:33:48+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:33:48+08:00 ] /wenda/Admin.php/Reward/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001054s ]
[ 2014-08-12T01:33:48+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001168s ]
[ 2014-08-12T01:33:48+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ view_template ] --START--
[ 2014-08-12T01:33:48+08:00 ] /wenda/Admin.php/Reward/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000913s ]
[ 2014-08-12T01:33:48+08:00 ] /wenda/Admin.php/Reward/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001014s ]
