[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000764s ]
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000869s ]
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.002970s ]
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | SQL: SELECT `password` FROM `hd_user` WHERE ( `account` = '天涯' ) LIMIT 1   [ RunTime:0.000242s ]
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.000917s ]
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001020s ]
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000717s ]
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000798s ]
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.003961s ]
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | SQL: SELECT `password` FROM `hd_user` WHERE ( `account` = '天涯' ) LIMIT 1   [ RunTime:0.000227s ]
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.001093s ]
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001197s ]
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000993s ]
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001076s ]
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.003572s ]
[ 2014-08-12T01:29:47+08:00 ] /wenda/index.php/Common/checkLogin | SQL: SELECT `password` FROM `hd_user` WHERE ( `account` = '天涯' ) LIMIT 1   [ RunTime:0.000279s ]
[ 2014-08-12T01:29:48+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:29:48+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.000918s ]
[ 2014-08-12T01:29:48+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001021s ]
[ 2014-08-12T01:29:48+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --START--
