[ 2013-05-06T09:09:57+08:00 ] /index.php/List/index/id/20 | INFO: Tag[ route_check ] --START--
[ 2013-05-06T09:09:57+08:00 ] /index.php/List/index/id/20 | INFO: Run CheckRoute Behavior [ RunTime:0.000765s ]
[ 2013-05-06T09:09:57+08:00 ] /index.php/List/index/id/20 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000919s ]
[ 2013-05-06T09:09:57+08:00 ] /index.php/List/index/id/20 | INFO: Tag[ app_begin ] --START--
[ 2013-05-06T09:09:57+08:00 ] /index.php/List/index/id/20 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000659s ]
[ 2013-05-06T09:09:57+08:00 ] /index.php/List/index/id/20 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000785s ]
[ 2013-05-06T09:09:57+08:00 ] /index.php/List/index/id/20 | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.001548s ]
[ 2013-05-06T09:09:57+08:00 ] /index.php/List/index/id/20 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 20 )  [ RunTime:0.000319s ]
[ 2013-05-06T09:09:57+08:00 ] /index.php/List/index/id/20 | SQL: SHOW COLUMNS FROM `hd_ask` [ RunTime:0.001380s ]
[ 2013-05-06T09:09:57+08:00 ] /index.php/List/index/id/20 | SQL: SELECT COUNT(id) AS tp_count FROM `hd_ask` WHERE ( `cid` IN ('202','203','204','205','206','207','208','209','210','211',20) ) AND ( `solve` = 0 ) LIMIT 1   [ RunTime:0.000281s ]
[ 2013-05-06T09:09:57+08:00 ] /index.php/List/index/id/20 | SQL: SELECT ask.id AS id,ask.content AS content,ask.time AS time,ask.answer AS answer,ask.reward AS reward,category.name AS name FROM hd_ask ask LEFT JOIN hd_category category ON ask.cid = category.id WHERE ( `cid` IN ('202','203','204','205','206','207','208','209','210','211',20) ) AND ( `solve` = 0 ) ORDER BY ask.time DESC LIMIT 0,15   [ RunTime:0.000577s ]
[ 2013-05-06T09:09:57+08:00 ] /index.php/List/index/id/20 | INFO: Tag[ view_template ] --START--
[ 2013-05-06T09:09:57+08:00 ] /index.php/List/index/id/20 | INFO: Run LocationTemplate Behavior [ RunTime:0.000518s ]
[ 2013-05-06T09:09:57+08:00 ] /index.php/List/index/id/20 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000666s ]
